2025-05-03 12:27:05.838082,Here are our loan products: - Personal Loan (Interest: 14.5%) - For your personal financial needs. - Home Loan (Interest: 10.75%) - Buy your dream home with low interest rates. - Education Loan (Interest: 9.5%) - Support your higher studies locally or abroad. - Personal Loan (Interest: 14.5%) - For your personal financial needs. - Home Loan (Interest: 10.75%) - Buy your dream home with low interest rates. - Education Loan (Interest: 9.5%) - Support your higher studies locally or abroad.,up
2025-05-10 13:52:18.511018,"You can transfer funds through our mobile app, online banking, or at any branch. We support NEFT, RTGS, and UPI methods.",down
2025-05-10 13:52:18.546746,"You can transfer funds through our mobile app, online banking, or at any branch. We support NEFT, RTGS, and UPI methods.",down
2025-05-10 13:52:18.546746,"You can transfer funds through our mobile app, online banking, or at any branch. We support NEFT, RTGS, and UPI methods.",down
2025-05-15 15:37:41.016464,"I'm sorry, I didn't quite catch that. Could you try rephrasing or ask something about account opening, loans, cards, or digital banking?",down
2025-05-15 15:38:13.544769,You can find your nearest branch or ATM using our locator tool on the website.,up
2025-05-15 15:38:20.264667,Did you mean something about **cards**?,down
2025-05-15 15:38:22.158633,We offer loans like the Home Loan at 10.75% interest — Buy your dream home with low interest rates.. Apply online or at a branch.,up
2025-05-15 15:43:43.619730,Hello! 👋 How can I assist you with your banking needs today?,up
2025-05-15 15:44:07.874962,"You can open accounts like our Current Account — Ideal for frequent transactions with no interest.. To apply, visit your nearest branch or register online.",up
2025-05-15 15:44:27.810530,Did you mean something about **cards**?,down
2025-05-15 15:44:41.209779,"We have seasonal cashback, discounts, and referral bonuses. Check our app or site for current deals.",up
2025-05-15 15:45:10.371344,We offer loans like the Home Loan at 10.75% interest — Buy your dream home with low interest rates.. Apply online or at a branch.,down
2025-05-15 15:45:36.386491,You can invest in fixed deposits such as 6-month terms at 7.5% interest. Visit a branch to apply.,up
2025-05-15 15:46:11.377644,"I'm sorry, I didn't quite catch that. Could you try rephrasing or ask something about account opening, loans, cards, or digital banking?",down
2025-05-15 15:46:30.666559,We value your feedback. Please leave a suggestion or review through our feedback form on the website.,up
2025-05-15 15:49:10.307942,Did you mean something about **cards**?,down
2025-05-15 15:49:11.466269,"I'm sorry, I didn't quite catch that. Could you try rephrasing or ask something about account opening, loans, cards, or digital banking?",down
2025-05-15 15:49:14.254819,We offer loans like the Personal Loan at 14.5% interest — For your personal financial needs.. Apply online or at a branch.,up
2025-05-15 15:56:47.029641,"I'm sorry, I didn't quite catch that. Could you try rephrasing or ask something about account opening, loans, cards, or digital banking?",down
2025-05-15 15:56:47.645237,We offer loans like the Home Loan at 10.75% interest — Buy your dream home with low interest rates.. Apply online or at a branch.,down
2025-05-15 15:56:48.844550,Did you mean something about **loans**?,down
2025-05-15 15:56:51.292448,You can apply for a debit or credit card online or at any branch.,up
2025-05-15 15:56:51.819188,Hello! 👋 How can I assist you with your banking needs today?,up
2025-05-15 16:01:13.993903,I want to open an account,down
2025-05-15 16:03:26.168625,I want to open an account,down
2025-05-15 16:04:21.266163,I want to open an account,down
